item_no,chapter,description,unit,rate
A2.1.1,2.0 EARTHWORK,but exceeding 1.5 m in width as well as 10 sqm on plan including disposed soil to be levelled and neatly dressed: - All Kinds of Soil,100 Sqm,7465.7
A2.2.1,2.0 EARTHWORK,"roads, flood banks, marginal banks and guide banks or filling up ground depressions, lead upto 50 m and lift upto 1.5 m. - All Kinds of soil",Cum,604.9
A2.3.1,2.0 EARTHWORK,"dressing up, in embankments for roads, flood banks, marginal banks, and guide banks etc.. lead upto 50 m and lift upto 1.5 m. - All kinds of soil",Cum,382.7
A2.4,2.0 EARTHWORK,banking excavated earth in layers not exceeding 20 cm in depth.,Cum,6.4
A2.5,2.0 EARTHWORK,Deduct for not watering the excavated earth for banking.,Cum,26.8
A2.6.1,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - All Kinds of soil",Cum,220.9
A2.7.1,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - Ordinary Rock",Cum,398.9
A2.7.2,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - Hard Rock ( Requiring Blasting)",Cum,731.0
A2.7.3,2.0 EARTHWORK,"and disposal of excavated earth lead upto 50 m and lift upto 1.5 m, as directed by Engineer-in-Charge. - Hard Rock (Blasting prohibited)",Cum,761.5
A2.8.1,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - All Kinds of soil,Cum,278.2
A2.9.1,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - Ordinary Rock,Cum,475.5
A2.9.2,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - Hard Rock ( Requiring Blasting),Cum,835.8
A2.9.3,2.0 EARTHWORK,out the excavated soil and disposal of surplus excavated soil as directed within a lead of 50m. - Hard Rock (Blasting prohibited),Cum,1101.3
A2.10.1.1,2.0 EARTHWORK,"Pipes,cables etc, not exceeding 80mm dia.",Metre,215.2
A2.11,2.0 EARTHWORK,"soil for depth exceeding 1.5 m, but not exceeding 3 m. (Rate is",Metre,126.7
A2.12,2.0 EARTHWORK,m. (Rate is over coresponding basic item for depth upto 1.5,Metre,316.0
A2.13.1.1,2.0 EARTHWORK,"Pipes, cables etc. not exceeding 80 mm dia.",Metre,315.1
A2.13.1.2,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 - mm dia",Metre,780.3
A2.13.1.3,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 Pipes, cables exceeding 300 mm dia but not exceeding 600mm - dia",Metre,897.9
A2.13.2.1,2.0 EARTHWORK,"Pipes, cables etc. not exceeding 80 mm dia",Metre,487.1
A2.13.2.2,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 - mm dia",Metre,1206.0
A2.13.2.3,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 Pipes, cables exceeding 300 mm dia but not exceeding 600mm - dia",Metre,1387.8
A2.13.3.1,2.0 EARTHWORK,"Pipes, cables etc. not exceeding 80mm dia.",Metre,612.5
A2.13.3.2,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 - mm dia",Metre,1516.7
A2.13.3.3,2.0 EARTHWORK,"Pipes, cables etc. exceeding 80 mm dia but not exceeding 300 Pipes, cables exceeding 300 mm dia but not exceeding 600mm - dia",Metre,1745.3
A2.16.1,2.0 EARTHWORK,"Close timbering in trenches including strutting, shoring and to be taken of the face area timbered): - Depth not exceeding 1.5 m.",Sqm,117.5
A2.16.2,2.0 EARTHWORK,Depth exceeding 1.5 m but not exceeding 3 m,Sqm,126.9
A2.16.3,2.0 EARTHWORK,Depth exceeding 3m but not exceeding 4.5m,Sqm,148.4
A2.17.1,2.0 EARTHWORK,"the like including strutting, shoring and packing cavities of the face area timbered) - Depth not exceeding 1.5 m.",Sqm,125.0
A2.17.2,2.0 EARTHWORK,Depth exceeding 1.5 m but not exceeding 3 m,Sqm,145.5
A2.17.3,2.0 EARTHWORK,Depth exceeding 3 m but not exceeding 4.5 m,Sqm,167.2
A2.18.1,2.0 EARTHWORK,"Close timbering over areas including strutting, shoring and (Measurements to be taken of the face area timbered) - Depth not exceeding 1.5 m.",Sqm,105.4
A2.18.2,2.0 EARTHWORK,Depth exceeding 1.5 m but not exceeding 3 m,Sqm,116.8
A2.18.3,2.0 EARTHWORK,Depth exceeding 3 m but not exceeding 4.5 m,Sqm,128.9
A2.19,2.0 EARTHWORK,close timbering) if required to be left permanently in position,Sqm,1475.0
A2.20.1,2.0 EARTHWORK,(Face area of timber perma nently left to be measured) . complete (Measurements to be taken of the face area timbered) - Depth not exceeding 1.5 m.,Sqm,60.8
A2.20.2,2.0 EARTHWORK,Depth exceeding 1.5 m but not exceeding 3 m,Sqm,66.9
A2.20.3,2.0 EARTHWORK,Depth exceeding 3m but not exceeding 4.5m,Sqm,76.8
A2.21.1,2.0 EARTHWORK,". complete (Measurements to be taken of the face area timbered) Open timbering in case of shafts, wells, cesspits, manholes and - Depth not exceeding 1.5 m.",Sqm,54.8
A2.22.1,2.0 EARTHWORK,"‘Open timbering over areas including strutting, shoring etc. | | | | | | - Depth not exceeding 1.5 m.",Sqm,37.8
A2.23,2.0 EARTHWORK,be left permanently in position (face area of the timber,Sqm,763.2
A2.25,2.0 EARTHWORK,depth: consolidating each deposited layer by ramming and,Cum,177.3
A2.26.1,2.0 EARTHWORK,"trenches, plinth, sides of foundation etc. complete. Extra for every additonal lift of 1.5 m or part thereof in - All Kinds of soil",Cum,72.9
A2.26.2,2.0 EARTHWORK,"trenches, plinth, sides of foundation etc. complete. Extra for every additonal lift of 1.5 m or part thereof in - Ordinary or Hard Rock",Cum,130.8
A2.28.1,2.0 EARTHWORK,Surface dressing of the ground including removing vegetation and lead upto 50 m and lift upto 1.5m - All Kinds of soil,Sqm,19.6
A2.29.1,2.0 EARTHWORK,lead upto 50 m and lift upto 1.5m Ploughing the existing ground to a depth of 15 cm to 25 cm and - All Kinds of soil,Sqm,19.9
A2.30.1,2.0 EARTHWORK,"each deposited layer by ramming, watering etc, disposing of surplus excavated soil-, as directed within a lead of 50 m and lift - All Kinds of soil",Each,193.5
A2.30.2,2.0 EARTHWORK,"each deposited layer by ramming, watering etc, disposing of surplus excavated soil-, as directed within a lead of 50 m and lift - Ordinary rock",Each,318.1
A2.30.3,2.0 EARTHWORK,"each deposited layer by ramming, watering etc, disposing of surplus excavated soil-, as directed within a lead of 50 m and lift - Hard Rock (Requiring Blasting)",Each,566.5
A2.30.4,2.0 EARTHWORK,"each deposited layer by ramming, watering etc, disposing of surplus excavated soil-, as directed within a lead of 50 m and lift - Hard Rock (Blasting Prohibited)",Each,744.2
A2.31,2.0 EARTHWORK,height of 1 m above ground level and removal of rubbish upto a,Sqm,10.1
A2.32,2.0 EARTHWORK,distance of 50 m outside the periphery of the area cleared. Aum Giacethepenpeysftearadewed Sm 838205520 says sto sa9)_ 20st 820s - : :,Sqm,5.2
A2.33.1,2.0 EARTHWORK,Beyond 30 cm girth upto and including 60 cm girth,Each,307.0
A2.33.2,2.0 EARTHWORK,Beyond 60 cm girth upto and including 120 cm girth,Each,1360.7
A2.33.3,2.0 EARTHWORK,Beyond 120 cm girth upto and including 240 cm girth,Each,6327.7
A2.33.4,2.0 EARTHWORK,ground level) including cutting of trunks and branches removing unserviceable material: - Above 240 cm girth,Each,12649.5
A2.35.1.1,2.0 EARTHWORK,With Chlorpyriphos/Lindane E.C. 20% with 1% concentration,Metre,20.5
A2.35.2.1,2.0 EARTHWORK,With Chlorpyriphos/Lindane E.C. 20% with 1% concentration,Metre,24.7
A2.35.3.1,2.0 EARTHWORK,With Chlorpyriphos/Lindane E.C. 20% with 1% concentration,Sqm,178.4
A2.35.5,2.0 EARTHWORK,solution) @ 0.5 litres per hole by drilling 6 mm dia holes at),Metre,294.6
A2.36,2.0 EARTHWORK,sealing the same. ‘Extra levelling & neatly dressing of disposed soil completely as | | | | | | - P . .,Cum,10.2
A3.1,2.0 EARTHWORK,MF Cement Mortar 1:1 (1 Cement : 1 fine sand),Cum,9407.3
A3.2,2.0 EARTHWORK,MF Cement Mortar 1:2 (1 Cement : 2 fine sand),Cum,7273.5
A3.4,2.0 EARTHWORK,MF Cement Mortar 1:4 (1 Cement : 4 fine sand),Cum,5231.5
A3.6,2.0 EARTHWORK,MF Cement Mortar 1:6 (1 Cement : 6 fine sand),Cum,4254.1
A3.8,2.0 EARTHWORK,MF Cement Mortar 1:3 (1 Cement : 3 Coarse sand),Cum,7910.2
A3.9,2.0 EARTHWORK,MF Cement Mortar 1:4 (1 Cement : 4 Coarse sand),Cum,6932.9
A3.10,2.0 EARTHWORK,MF (Cement Mortar 1:5 (1 Cement : 5 Coarse sand),Cum,6406.6
A3.12,2.0 EARTHWORK,MF Cement Mortar 1:2 (1 Cement : 2 Stone dust),Cum,7200.6
A3.14,2.0 EARTHWORK,MF Cement Mortar 1:5 (1 Cement : 5 Marble Dust),Cum,4290.4
A3.16,2.0 EARTHWORK,MF (Cement Mortar 1:3 (1White Cement : 3 Marble Dust),Cum,15056.6
A3.18,2.0 EARTHWORK,Mud Mortar,Cum,1958.6
A3.19,2.0 EARTHWORK,"Mortar in lime, surkhi (50% red and 50% light yellow) and marbel - dust 1:1.5:0.5",Cum,2726.8
A4.1.2,4.0 CONCRETE WORK,upto Plinth Level 1:1.5:3 (1 Cement: 1.5 coarse sand : 3 graded stone aggregate 20 - MF P :,Cum,10562.1
A4.1.3,4.0 CONCRETE WORK,mm nominal size) 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 20 - MF : P,Cum,9968.9
A4.1.4,4.0 CONCRETE WORK,mm nominal size) 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 40 - MF : P,Cum,9552.4
A4.1.5,4.0 CONCRETE WORK,mm nominal size) 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 20 - MF : P,Cum,9224.8
A4.1.6,4.0 CONCRETE WORK,mm nominal size) 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 40 - MF : P,Cum,8704.2
A4.1.8,4.0 CONCRETE WORK,mm nominal size) 1:4:8 (1 Cement : 4 coarse sand (zone Ill): 8 graded stone - MF : :,Cum,8201.3
A4.1.10,4.0 CONCRETE WORK,aggregate 40 mm nominal size) 1:5:10 (1 cement : 5 coarse sand(zone Ill) : 10 graded stone - MF : :,Cum,7798.9
A4.1.11,4.0 CONCRETE WORK,aggregate 40 mm nominal size) 1:5:10 (1 cement : 5 fine sand : 10 graded stone aggregate 40 - MF : :,Cum,6784.0
A4.1.12,4.0 CONCRETE WORK,MF sand (zone Ill): 9 graded stone aggregate 40 mm nominal size),Cum,7756.6
A4.1.13,4.0 CONCRETE WORK,MF coarse sand (zone Ill): 11 graded stone aggregate 40 mm nominal,Cum,7219.1
A4.2.2,4.0 CONCRETE WORK,"excluding the cost of centering, shuttering and finishing. 121.533 (1 Cement: 1.5 coarse sand : 3 graded stone aggregate | | | | | | - MF : P",Cum,10669.5
A4.2.3,4.0 CONCRETE WORK,20 mm nominal size) 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 20 - MF : P,Cum,10019.5
A4.2.5,4.0 CONCRETE WORK,mm nominal size) 1:3:6 (1 Cement : 3 coarse sand : 6 graded stone aggregate 20 - MF : P,Cum,9258.3
A4.2.8,4.0 CONCRETE WORK,mm nominal size) 1:5:10 (1 Cement : 5 coarse sand : 10 graded stone aggregate 40 - MF : :,Cum,8221.7
A4.3.1,removal of form work for:,"removal of form work for: - Foundations, footings, bases of Columns",Sqm,263.4
A4.3.2,removal of form work for:,"attached pilasters, buttresses, plinth and string courses fillets,",Sqm,551.4
A4.3.3,removal of form work for:,"‘Columns, piers, abutments, pillars, posts and struts.",Sqm,662.2
A4.4.1,removal of form work for:,"Providing and laying cement concrete in kerbs, steps and the like 1:1.5:3 (1 cement : 2 coarse sand : 3 grade stone aggregate 20 - MF P :",Cum,10562.1
A4.5.1,removal of form work for:,3 fine sand) on exposed surfaces complete. 121.533 (1 cement: 1.5 coarse sand: 3 graded stone aggregate | | | | | | - MF P :,Cum,11925.0
A4.6.1,removal of form work for:,3 fine sand) on exposed surfaces complete. 1:1.5:3 (1 cement: 1.5 coarse sand: 3 graded stone aggregate - MF : F,Cum,10858.8
A4.7.1,removal of form work for:,1:3 (1 cement: 3 fine sand) on exposed surfaces complete. 1:1.5:3 (1 cement: 1.5 coarse sand: 3 graded stone aggregate - MF : F,Cum,16989.7
A4.8.1,removal of form work for:,"centring, shuttering and finishing Complete 1:1.5:3 (1 cement: 1.5 coarse sand: 3 graded stone aggregate - MF : F",Cum,18393.0
A4.9,removal of form work for:,embedded 150 in cement concrete 1:3:6 ( 1cement: 3 coarse,Each,862.4
A4.10,removal of form work for:,MF concrete 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone,Sqm,875.4
A4.11,removal of form work for:,MF concrete 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone,Sqm,572.5
A4.13,removal of form work for:,MF course after cleaning the surface with brushes and finally with a,Sqm,157.5
A4.14,removal of form work for:,piece of cloth lightly soaked in kerosene oil Extra for concrete work in superstructure above floor V level for - each four floors or part thereof,Cum,903.1
A4.16,removal of form work for:,Extra for laying concrete in or under foul positions,Cum,275.6
A4.17,removal of form work for:,"size, well rammed and consolidated and grouted with fine sand",Sqm,715.4
A4.19.1.1,finishing the top smooth.,cement is to be ensured in accordance with Clauses 5.2 & 5.2.1 of 1S:456-2000 in the items of BMC & RMC. - M15 grade plain cement concrete,Cum,15523.0
A4.19.1.2,finishing the top smooth.,cement is to be ensured in accordance with Clauses 5.2 & 5.2.1 of 1S:456-2000 in the items of BMC & RMC. - M10 Grade plain cement concrete,Cum,15784.2
A4.19.2.1,finishing the top smooth.,of 1S:456-2000 in the items of BMC & RMC. - 'M15 grade plain cement concrete,Cum,15785.2
A4.19.2.2,finishing the top smooth.,of 1S:456-2000 in the items of BMC & RMC. - M10 grade plain cement concrete,Cum,15578.1
A4.20.1.1,finishing the top smooth.,(1) Excess/Less cement used than specified in this Item is payable/recoverable seperately. - M15 grade plain cement concrete,Cum,16438.5
A4.20.1.2,finishing the top smooth.,(1) Excess/Less cement used than specified in this Item is payable/recoverable seperately. - 'M10 grade plain cement concrete,Cum,16231.4
A4.20.2.1,finishing the top smooth.,payable/recoverable seperately. - 'M15 grade plain cement concrete,Cum,16232.4
A4.20.2.2,finishing the top smooth.,payable/recoverable seperately. - M10 grade plain cement concrete,Cum,16025.3
A5.1.3,5.0 REINFORCED CEMENT CONCRETE,finishing and reinforcement - All work upto plinth level 20 mm nominal size) - MF . .,Cum,10381.7
A5.2.2,5.0 REINFORCED CEMENT CONCRETE,"struts, etc. upto floor five level excluding cost of centring, shuttering, finishing and reinforcement. - MF . .",Cum,12320.4
A5.3,5.0 REINFORCED CEMENT CONCRETE,"MF upto floor five level excluding the cost of centring, shuttering,",Cum,12681.4
A5.4,5.0 REINFORCED CEMENT CONCRETE,"MF centring, shuttering, finishing and reinforcement with 1:1.5:3 (1",Cum,15553.7
A5.5,5.0 REINFORCED CEMENT CONCRETE,"MF upto floor five level excluding the cost of centring, shuttering,",Cum,13145.7
A5.7,5.0 REINFORCED CEMENT CONCRETE,MF 4.4.5.3 (1 cement; 1.5 coarse sand; 3 graded stone aggregate,Cum,10610.3
A5.8,5.0 REINFORCED CEMENT CONCRETE,"MF plinth level upto floor 5 level, excluding the cost of centring,",Cum,290.3
A5.9.1,5.0 REINFORCED CEMENT CONCRETE,"Foundations, footings, bases of columns etc. for mass concrete.",Sqm,263.4
A5.9.2,5.0 REINFORCED CEMENT CONCRETE,"Centering and shuttering including strutting, propping etc. and Walls (any thickness) including attached pilasters, butteresses, - . .",Sqm,551.6
A5.9.3,5.0 REINFORCED CEMENT CONCRETE,"Suspended floors, roofs, landings, balconies and access platform.",Sqm,618.1
A5.9.4,5.0 REINFORCED CEMENT CONCRETE,"Walls (any thickness) including attached pilasters, butteresses, plinth and string courses etc. - Shelves (Cast in Situ)",Sqm,618.1
A5.9.5,5.0 REINFORCED CEMENT CONCRETE,"Lintles, Beams, Plinth beams, Girders, Bressumers & Cantilevers",Sqm,499.8
A5.9.6,5.0 REINFORCED CEMENT CONCRETE,"Columns, Pillars, Piers, Abutments, Posts & Struts",Sqm,662.2
A5.9.7,5.0 REINFORCED CEMENT CONCRETE,Stairs (Excluding Landings) except spiral stair cases,Sqm,552.1
A5.9.8,5.0 REINFORCED CEMENT CONCRETE,plinth and string courses etc. - Spiral staircases (including landing),Sqm,569.3
A5.9.9,5.0 REINFORCED CEMENT CONCRETE,"Arches, Domes, Vaults upto 6 meter span",Sqm,1553.1
A5.9.10,5.0 REINFORCED CEMENT CONCRETE,"Extra for Arches, Domes, Vaults exceeding 6 meter span",Sqm,5834.2
A5.9.11,5.0 REINFORCED CEMENT CONCRETE,Chimneys and Shafts,Sqm,551.6
A5.9.12,5.0 REINFORCED CEMENT CONCRETE,Well Steining,Sqm,257.9
A5.9.13,5.0 REINFORCED CEMENT CONCRETE,"A590 nacusangerestnaes nn NE"" SNS sym ran seaso__ 7.89 sonso__ tha) i970 snaps. tk",Sqm,897.8
A5.9.15,5.0 REINFORCED CEMENT CONCRETE,"cornices, window sills, string courses, bands, copings, bed plates,",Sqm,263.4
A5.9.16.1,5.0 REINFORCED CEMENT CONCRETE,"Small lintels not exceeding 1.5m clear span, moulding as in anchor blocks and the like, - Under 20 cm wide",Sqm,153.6
A5.9.16.2,5.0 REINFORCED CEMENT CONCRETE,"Small lintels not exceeding 1.5m clear span, moulding as in anchor blocks and the like, - Above 20 cm wide",Sqm,655.1
A5.9.17,5.0 REINFORCED CEMENT CONCRETE,"Small lintels not exceeding 1.5m clear span, moulding as in anchor blocks and the like, - Cornices and Mouldings",Sqm,673.4
A5.9.18,5.0 REINFORCED CEMENT CONCRETE,"steps, caps and bases to pilasters and columns and the like",Sqm,680.0
A5.9.19,5.0 REINFORCED CEMENT CONCRETE,"Weather shade, Chajjas, Corbles etc., including edges",Sqm,684.5
A5.9.20,5.0 REINFORCED CEMENT CONCRETE,"Small surfaces such as cantilever ends, brackets and ends of Suspended floors, roofs, landings, balconies and access platform - with water proof ply 12mm thick",Sqm,718.5
A5.9.21,5.0 REINFORCED CEMENT CONCRETE,"Suspended floors, roofs, landings, balconies and access platform Lintels, Beams, Plinth beams, Girders, Bressumers & Cantilevers - with water proof ply 12mm thick",Sqm,600.1
A5.10.1,5.0 REINFORCED CEMENT CONCRETE,"Lintels, Beams, Plinth beams, Girders, Bressumers & Cantilevers Providing and fixing tie bolt, spring coil and plastic cone in wall - MF 12mm dia & 100 mm length",Set,171.5
A5.10.2,5.0 REINFORCED CEMENT CONCRETE,"Lintels, Beams, Plinth beams, Girders, Bressumers & Cantilevers Providing and fixing tie bolt, spring coil and plastic cone in wall - MF 12mm dia. & 150 mm length",Set,188.0
A5.10.3,5.0 REINFORCED CEMENT CONCRETE,"Lintels, Beams, Plinth beams, Girders, Bressumers & Cantilevers Providing and fixing tie bolt, spring coil and plastic cone in wall - MF 20 mm dia.& 150 mm length",Set,202.8
A5.10.4,5.0 REINFORCED CEMENT CONCRETE,"Providing and fixing tie bolt, spring coil and plastic cone in wall - MF 20 mm dia.& 225 mm length",Set,219.2
A5.12,5.0 REINFORCED CEMENT CONCRETE,"MF the like including the cost of required centring, shuttering, but",Cum,12215.3
A5.14,5.0 REINFORCED CEMENT CONCRETE,"MF coarse sand) cost of required centring, shuttering but excluding",Cum,17124.0
A5.15,5.0 REINFORCED CEMENT CONCRETE,"MF coarse sand), cost of required centring, shuttering but excluding",Cum,14556.6
A5.16,5.0 REINFORCED CEMENT CONCRETE,"MF required centring, shutteringand finishing with neat cement",Cum,24308.5
A5.17,5.0 REINFORCED CEMENT CONCRETE,MF 1:2 (1 cement . 2 coarse sand) including the cost of required,Cum,13095.3
A5.18.1,5.0 REINFORCED CEMENT CONCRETE,"cement : 3 fine sand) etc. complete excluding plastering of the jambs, sills and soffits. - MF 50 mm thick",Sqm,1467.2
A5.18.2,5.0 REINFORCED CEMENT CONCRETE,"cement : 3 fine sand) etc. complete excluding plastering of the jambs, sills and soffits. - MF (40 mm thick",Sqm,1317.5
A5.18.3,5.0 REINFORCED CEMENT CONCRETE,"cement : 3 fine sand) etc. complete excluding plastering of the jambs, sills and soffits. - MF (25 mm thick",Sqm,1164.4
A5.19,5.0 REINFORCED CEMENT CONCRETE,MF aggregate 20 mm nominal size) including centring and shuttering,Cum,15841.2
A5.20,5.0 REINFORCED CEMENT CONCRETE,MF nominal size) including centring and shuttering but excluding,Cum,11423.6
A5.21,5.0 REINFORCED CEMENT CONCRETE,"MF kg. per sqm. for encasing of rolled steel sections in beams,",Sqm,526.9
A5.22.2,5.0 REINFORCED CEMENT CONCRETE,"‘STEEL REINFORCEMENT Reinforcement for R.C.C. work including straightening, cutting, - Hard drawn steel wire",Kg,98.4
A5.22.3,5.0 REINFORCED CEMENT CONCRETE,"‘STEEL REINFORCEMENT Reinforcement for R.C.C. work including straightening, cutting, - Cold twisted bars",kg,91.0
A5.22.4,5.0 REINFORCED CEMENT CONCRETE,"‘STEEL REINFORCEMENT Reinforcement for R.C.C. work including straightening, cutting, - Hot rolled deformed bars (Tor)",Kg,91.0
A5.22.5,5.0 REINFORCED CEMENT CONCRETE,"Reinforcement for R.C.C. work including straightening, cutting, - Hard drawn steel wire fabric",kg,108.0
A5.23,5.0 REINFORCED CEMENT CONCRETE,complete above plinth level Smooth finishing of the exposed surface of RCC work with 6mm - . ; oe,Sqm,215.7
A5.24,5.0 REINFORCED CEMENT CONCRETE,and protecting the surface with a layer of 7.5cm of earth laid,Sqm,157.7
A5.25,5.0 REINFORCED CEMENT CONCRETE,"A525 Smnjane ""SN SOMET ANS PEGG g___ 030 a9 serge Tom.79 oman soso sons sisso_ sero ento sony",Kg,890.2
A5.27,5.0 REINFORCED CEMENT CONCRETE,"80 kg of hot bitumen, 1 kg of cement and 0.25 cum of coarse",Cum,31188.1
A5.28,5.0 REINFORCED CEMENT CONCRETE,"impregnated fibre board conforming to IS-1838, including cost of",Cum,66.2
A5.29.1.2,5.0 REINFORCED CEMENT CONCRETE,Providing and fixing sheet covering over expansion joints with N52 onscoer sre en - 200 mm wide,Metre,258.1
A5.29.2.1,5.0 REINFORCED CEMENT CONCRETE,Providing and fixing sheet covering over expansion joints with N52 onscoer sre en - 150 mm wide,Metre,561.4
A5.29.2.2,5.0 REINFORCED CEMENT CONCRETE,Providing and fixing sheet covering over expansion joints with N52 onscoer sre en - 200 mm wide,Metre,745.4
A5.32,5.0 REINFORCED CEMENT CONCRETE,Extra for laying RCC in or under foul positions,Cum,275.6
A5.33.1,5.0 REINFORCED CEMENT CONCRETE,item is @ 330 kg/cum. Excess or less cement used as per design mix is payable or recoverable seperately) - MF All works upto Plinth level,Cum,16947.0
A5.33.2,5.0 REINFORCED CEMENT CONCRETE,MF All works above Plinth level upto floor 5 level,Cum,18078.9
A5.34.1,5.0 REINFORCED CEMENT CONCRETE,MF NOTE: Coment content considered in wane a aoke/cum),Cum,103.5
A5.34.2,5.0 REINFORCED CEMENT CONCRETE,MF (NOTE: Cement content considered in M-35 is @ 350Kg/cum),Cum,2334.8
A5.34.3,5.0 REINFORCED CEMENT CONCRETE,MF (NOTE: Cement content considered in M-40 is @ 360Kg/cum),Cum,310.6
A5.37.1,5.0 REINFORCED CEMENT CONCRETE,Excess or less cement used as per design mix is payable or recoverable seperately) - All works upto Plinth level,Cum,17415.2
A5.37.2,5.0 REINFORCED CEMENT CONCRETE,All works above Plinth level upto floor V level,Cum,18547.1
A5.40.1,5.0 REINFORCED CEMENT CONCRETE,in accordance with Clauses 5.2 and 5.2.1 of 1$:456-2000 in the items of BMC and RMC) - All works upto Plinth level,Cum,16923.2
A5.40.2,5.0 REINFORCED CEMENT CONCRETE,All works above Plinth level and upto floor-V level,Cum,18055.1
A5.41.1,5.0 REINFORCED CEMENT CONCRETE,"Supplyinfg and applying pre tested and approved water based concrete curing compound to concrete or masonary surface, all - Non pigmented wet curing compound",Sqm,50.2
A5.42.1,5.0 REINFORCED CEMENT CONCRETE,Coupler for 16 mm diameter reinforcement bar,Each,120.3
A5.42.2,5.0 REINFORCED CEMENT CONCRETE,Coupler for 20 mm diameter reinforcement bar,Each,166.5
A5.42.3,5.0 REINFORCED CEMENT CONCRETE,Coupler for 25 mm diameter reinforcement bar,Each,240.5
A5.42.4,5.0 REINFORCED CEMENT CONCRETE,Coupler for 28 mm diameter reinforcement bar,Each,281.2
A5.42.5,5.0 REINFORCED CEMENT CONCRETE,Coupler for 32 mm diameter reinforcement bar,Each,339.3
A5.43.1,5.0 REINFORCED CEMENT CONCRETE,Providing and fixing in position Stainless steel Grade-304 plate - 200 mm wide,Metre,831.0
A5.43.2,5.0 REINFORCED CEMENT CONCRETE,Providing and fixing in position Stainless steel Grade-304 plate - 300 mm wide,Metre,1193.2
A5.44.1,5.0 REINFORCED CEMENT CONCRETE,manufacturer's design and as approved by Engineer-in-charge. (Material shall confirm to ASTM 6063). - Floor joint of 100 mm gap,Metre,6384.0
A5.44.2,5.0 REINFORCED CEMENT CONCRETE,manufacturer's design and as approved by Engineer-in-charge. (Material shall confirm to ASTM 6063). - Floor joint of 150 mm gap,Metre,7927.0
A5.44.3,5.0 REINFORCED CEMENT CONCRETE,manufacturer's design and as approved by Engineer-in-charge. (Material shall confirm to ASTM 6063). - Floor joint of 200 mm gap,Metre,10294.0
A5.45.1,5.0 REINFORCED CEMENT CONCRETE,surfaces mechanically snap locking the multicellular to facilitate movement. (Material shall confirm to ASTM 6063). - Wall joint of 100 mm gap,Metre,5231.5
A5.45.2,5.0 REINFORCED CEMENT CONCRETE,surfaces mechanically snap locking the multicellular to facilitate movement. (Material shall confirm to ASTM 6063). - Wall joint of 150 mm gap,Metre,5951.8
A5.45.3,5.0 REINFORCED CEMENT CONCRETE,surfaces mechanically snap locking the multicellular to facilitate movement. (Material shall confirm to ASTM 6063). - Wall joint of 200 mm gap,Metre,7001.3
A5.46.1,5.0 REINFORCED CEMENT CONCRETE,in the joint system to have water tight joint is mandatory requirement. (Material shall confirm to ASTM 6063). - Roof joint of 100 mm gap,Metre,5890.1
A5.46.2,5.0 REINFORCED CEMENT CONCRETE,in the joint system to have water tight joint is mandatory requirement. (Material shall confirm to ASTM 6063). - Roof joint of 150 mm gap,Metre,6610.3
A5.46.3,5.0 REINFORCED CEMENT CONCRETE,in the joint system to have water tight joint is mandatory requirement. (Material shall confirm to ASTM 6063). - Roof joint of 200 mm gap,Metre,7989.1
A5.47.1,5.0 REINFORCED CEMENT CONCRETE,per the ditrection of engineer-in-charge. The frame shall be measured in running metre correct to two places of decimal. - Door frame 125 mm x 60 mm,Metre,3707.4
A5.47.2,5.0 REINFORCED CEMENT CONCRETE,per the ditrection of engineer-in-charge. The frame shall be measured in running metre correct to two places of decimal. - Door frame 100 mm x 60 mm,Metre,3399.0
A5.47.3,5.0 REINFORCED CEMENT CONCRETE,per the ditrection of engineer-in-charge. The frame shall be measured in running metre correct to two places of decimal. - Door frame 85 mm x 60 mm,Metre,3240.7
A5.48.1,5.0 REINFORCED CEMENT CONCRETE,considered in this item is 480 Kg/cum. Excess or less cement used as per design mix is payable or recoverable seperately. - Reinforced Cement Concrete M-50,Cum,13192.9
